Категория;ВидПродукции;2014;2015;2016;2017
Плодоовощная продукция, включая картофель;Бананы;60,17;73,06;68,96;66,69
Плодоовощная продукция, включая картофель;Сухофрукты;205,18;333,6;327,76;313,63
Плодоовощная продукция, включая картофель;Орехи;405,44;586,51;584,03;566,77
Алкогольные напитки;Водка крепостью 40% об.спирта и выше, за л;547,02;559,21;583;600,59
Алкогольные напитки;Вино виноградное крепленое крепостью до 20% об.спирта, за л;390,81;472,84;518,56;541,79
Алкогольные напитки;Вино виноградное столовое (сухое, полусухое, полусладкое) крепостью до 14% об.спирта и содержанием до 8% сахара, за л;299,19;364,69;379,97;394,15
Алкогольные напитки;Коньяк ординарный отечественный, за л;1139,95;1261,25;1321,94;1303,04
Алкогольные напитки;Вино игристое отечественное, за л;253,64;283,72;306,22;320,63
Алкогольные напитки;Пиво отечественное, за л;87,37;98,36;105,68;110,22
Алкогольные напитки;Пиво зарубежных торговых марок, за л;191,32;216,32;223,93;226,81
Напитки безалкогольные;Вода минеральная, за л;27,03;30,02;30,96;31,5
Напитки безалкогольные;Вода газированная, за л;30,23;34,56;37,43;38,86
Мороженое;Мороженое сливочное;278,29;326;367,48;400,43
Общественное питание;Кофе в организациях быстрого обслуживания, за 200 г;54,85;64,75;67,71;68,66
Общественное питание;Продукция предприятий общественного питания быстрого обслуживания (сэндвич типа Гамбургер), за шт.;67,05;78,48;83;82,66
Общественное питание;Обед в ресторане, на 1 человека;683,76;757,83;787,93;789,16
Общественное питание;Обед в столовой, кафе, закусочной (кроме в столовой в организации), на 1 человека;236,3;258,09;274,88;286,12
Общественное питание;Ужин в ресторане, на 1 человека;2129,31;2391,5;2425,3;2526,55
